127.0.0.1 - - [03/May/2022:09:12:37 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/May/2022:09:19:53 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [03/May/2022:09:19:53 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [03/May/2022:09:20:02 -0300] "GET /gerenciador/novaEmpresa HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [03/May/2022:09:20:20 -0300] "GET /gerenciador/novaEmpresa.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [03/May/2022:09:21:00 -0300] "GET /gerenciador/formNovaEmpresa.html HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [03/May/2022:09:21:04 -0300] "GET /gerenciador/formNovaEmpresa HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [03/May/2022:09:21:08 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [03/May/2022:09:21:13 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [03/May/2022:09:30:33 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [03/May/2022:09:31:56 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2022:09:31:56 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [03/May/2022:09:33:43 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2022:09:33:43 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [03/May/2022:09:34:54 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [03/May/2022:09:34:59 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2022:09:34:59 -0300] "POST /gerenciador/novaEmpresa HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2022:09:34:59 -0300] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 421
